Date,Close,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018,51.81,,,,,,,,,,,,,,,,,,,,,,,
9/08/2018,52.22,,,,,,,,,,,,,,,,,,,,,,,
10/08/2018,51.88,,,,,,,,,,,,,,,,,,,,,,,
13/08/2018,52.22,,,,,,,,,,,,,,,,,,,,,,,
14/08/2018,52.44,,,,,,,,,,,,,,,,,,,,,,,
15/08/2018,52.56,,,,,,,,,,,,,,,,,,,,,,,
16/08/2018,53.33,,,,,,,,,,,,,,,,,,,,,,,
17/08/2018,54.4,,,,,,,,,,,,,,,,,,,,,,,
20/08/2018,53.87,,,,,,,,,,,,,,,,,,,,,,,
21/08/2018,53.76,,,,,,,,,,,,,,,,,,,,,,,
22/08/2018,53.76,,,,,,,,,,,,,,,,,,,,,,,
23/08/2018,53.87,,,,,,,,,,,,,,,,,,,,,,,
24/08/2018,54.04,,,,,,,,,,,,,,,,,,,,,,,
27/08/2018,54.49,,,,,,,,,,,,,,,,,,,,,,,
28/08/2018,54.93,,,,,,,,,,,,,,,,,,,,,,,
29/08/2018,55.75,,,,,,,,,,,,,,,,,,,,,,,
30/08/2018,56.26,,,,,,,,,,,,,,,,,,,,,,,
31/08/2018,56.91,,,,,,,,,,,,,,,,,,,,,,,
4/09/2018,57.09,,,,,,,,,,,,,,,,,,,,,,,
5/09/2018,56.72,,,,,,,,,,,,,,,,,,,,,,,
6/09/2018,55.78,,,,,,,,,,,,,,,,,,,,,,,
7/09/2018,55.33,,,,,,,,,,,,,,,,,,,,,,,
10/09/2018,54.58,,,,,,,,,,,,,,,,,,,,,,,
11/09/2018,55.96,,,,,,,,,,,,,,,,,,,,,,,
12/09/2018,55.27,,,,,,,,,,,,,,,,,,,,,,,
13/09/2018,56.6,,,,,,,,,,,,,,,,,,,,,,,
14/09/2018,55.96,,,,,,,,,,,,,,,,,,,,,,,
17/09/2018,54.47,,,,,,,,,,,,,,,,,,,,,,,
18/09/2018,54.56,,,,,,,,,,,,,,,,,,,,,,,
19/09/2018,54.59,,,,,,,,,,,,,,,,,,,,,,,
20/09/2018,55.01,,,,,,,,,,,,,,,,,,,,,,,
21/09/2018,54.42,,,,,,,,,,,,,,,,,,,,,,,
24/09/2018,55.2,,,,,,,,,,,,,,,,,,,,,,,
